gene	list_id	list_name
LARS2	MT:1	MacTel_Genes
CPS1	MT:1	MacTel_Genes
SLC4A7	MT:1	MacTel_Genes
DNAJA2	MT:1	MacTel_Genes
JMJD6	MT:1	MacTel_Genes
ST6GALNAC1	MT:1	MacTel_Genes
GCKR	MT:1	MacTel_Genes
CERS4	MT:1	MacTel_Genes
PHGDH	MT:1	MacTel_Genes
TRIOBP	MT:1	MacTel_Genes
EIF3L	MT:1	MacTel_Genes
MICALL1	MT:1	MacTel_Genes
POLR2F	MT:1	MacTel_Genes
SOX10	MT:1	MacTel_Genes
PICK1	MT:1	MacTel_Genes
SLC16A8	MT:1	MacTel_Genes
ISM2	MT:1	MacTel_Genes
SPTLC2	MT:1	MacTel_Genes
PHKB	MT:1	MacTel_Genes
CHCHD2	MT:1	MacTel_Genes
SF3B14	MT:1	MacTel_Genes
TP53I3	MT:1	MacTel_Genes
EIF2B4	MT:1	MacTel_Genes
NRBP1	MT:1	MacTel_Genes
SNX17	MT:1	MacTel_Genes
PPM1G	MT:1	MacTel_Genes
SLC1A4	MT:1	MacTel_Genes
KLHL29	MT:1	MacTel_Genes
FKBP1B	MT:1	MacTel_Genes
BAIAP2L2	MT:1	MacTel_Genes
C22orf23	MT:1	MacTel_Genes
SUMF2	MT:1	MacTel_Genes
HMGCS2	MT:1	MacTel_Genes
SLC5A6	MT:1	MacTel_Genes
ATRAID	MT:1	MacTel_Genes
TRIM54	MT:1	MacTel_Genes
MYLK3	MT:1	MacTel_Genes
FBN3	MT:1	MacTel_Genes
ZNF697	MT:1	MacTel_Genes
LIMD1	MT:1	MacTel_Genes
GBAS	MT:1	MacTel_Genes
CCT6A	MT:1	MacTel_Genes
PSPH	MT:1	MacTel_Genes
NRBF2	MT:1	MacTel_Genes
SEPTIN14	MT:1	MacTel_Genes
TTC39B	MT:1	MacTel_Genes
C16orf87	MT:1	MacTel_Genes
KRTCAP3	MT:1	MacTel_Genes
PRPSAP1	MT:1	MacTel_Genes
EOMES	MT:1	MacTel_Genes
ZNF513	MT:1	MacTel_Genes
SLC4A1AP	MT:1	MacTel_Genes
SLC6A20	MT:1	MacTel_Genes
SCRG1	MT:1	MacTel_Genes
TMEM161B	MT:1	MacTel_Genes
PHKG1	MT:1	MacTel_Genes
REEP3	MT:1	MacTel_Genes
GPT2	MT:1	MacTel_Genes
RBKS	MT:1	MacTel_Genes
SHCBP1	MT:1	MacTel_Genes
JMJD1C	MT:1	MacTel_Genes
ZNF713	MT:1	MacTel_Genes
MXRA7	MT:1	MacTel_Genes
PLA2G6	MT:1	MacTel_Genes
NUPR1L	MT:1	MacTel_Genes
ITSN2	MT:1	MacTel_Genes
GPN1	MT:1	MacTel_Genes
AC074091.13	MT:1	MacTel_Genes
MFSD2B	MT:1	MacTel_Genes
SACM1L	MT:1	MacTel_Genes
FAM228B	MT:1	MacTel_Genes
AC109829.1	MT:1	MacTel_Genes
MRPL33	MT:1	MacTel_Genes
MRPS17	MT:1	MacTel_Genes
AC110084.1	MT:1	MacTel_Genes
