ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000203857	HSD3B1	1	120049821	120057681	1	protein_coding	3283	HSD3B1	8.51173207421434e-05	-0.231393407	39	7.981	0	NA	NA	NA	NA	6.048e-08	rs911245	1
ENSG00000143067	ZNF697	1	120162045	120190396	-1	protein_coding	90874	ZNF697	0.191081026945304	2.021257024	2	7.717	22	1.09735e-07	1.71401e-08	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9	+	1.608e-08	rs41276630;rs4659226;rs3828090;rs911245	1
ENSG00000092621	PHGDH	1	120202421	120286838	1	protein_coding	26227	PHGDH	0.000436998677210205	-0.059014319	186	17.43	8	7.04343e-11	1.00611e-06	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex	-	6.683e-35	rs532303;rs839618;rs3828090;rs41276630;rs34912124;rs79542705;rs4659226;rs12057776;rs512854;rs56125282;rs9943291;rs146953046	1
ENSG00000134240	HMGCS2	1	120290619	120311528	-1	protein_coding	3158	HMGCS2	1.06116787483877e-08	-0.542107047	46	12.21	18	3.5974e-06	0.0185242	GTEx/v8/Brain_Substantia_nigra	-	1.51e-17	rs9943291;rs56125282;rs512854;rs2843018	1
ENSG00000134193	REG4	1	120336641	120354283	-1	protein_coding	83998	REG4	5.62414830360332e-05	0.046690491	1	4.109	0	NA	NA	NA	NA	0.00258	rs512854	1
ENSG00000119771	KLHL29	2	23608088	23931481	1	protein_coding	114818	KLHL29	NA	-0.399831988	2	3.71	0	NA	NA	NA	NA	4.449e-08	rs14388	2
ENSG00000119778	ATAD2B	2	23971534	24149984	-1	protein_coding	54454	ATAD2B	0.999998682086859	-1.214324444	5	4.124	0	NA	NA	NA	NA	3.367e-07	rs14388	2
ENSG00000173960	UBXN2A	2	24150155	24227779	1	protein_coding	165324	UBXN2A	0.000588703494775096	1.808350275	9	9.034	0	NA	NA	NA	NA	2.584e-07	rs14388	2
ENSG00000205639	MFSD2B	2	24232951	24286191	1	protein_coding	388931	MFSD2B	1.76078145058686e-07	NA	20	14.71	0	NA	NA	NA	NA	7.598e-09	rs14388	2
ENSG00000163026	C2orf44	2	24252210	24272445	-1	protein_coding	80304	C2orf44	0.0014413481942125	-0.476207176	1	7.108	0	NA	NA	NA	NA	1.602e-07	rs14388	2
ENSG00000119782	FKBP1B	2	24272571	24286551	1	protein_coding	2281	FKBP1B	0.00888532712656979	NA	11	14.71	0	NA	NA	NA	NA	7.598e-09	rs14388	2
ENSG00000115128	SF3B14	2	24290454	24299313	-1	protein_coding	51639	SF3B6	0.881404454908759	NA	13	14.71	0	NA	NA	NA	NA	7.598e-09	rs14388	2
ENSG00000219626	FAM228B	2	24299396	24392509	1	protein_coding	375190	FAM228B	NA	NA	42	14.71	7	2.17155e-05	3.35642e-14	GTEx/v8/Whole_Blood	+	7.598e-09	rs14388	2
ENSG00000115129	TP53I3	2	24300303	24308731	-1	protein_coding	9540	TP53I3	3.7580421810693e-07	0.785512855	8	9.604	277	2.51566e-09	4.15131e-65	GTEx/v8/Whole_Blood	-	1.165e-08	rs14388	2
ENSG00000176732	PFN4	2	24338241	24346347	-1	protein_coding	375189	PFN4	0.00113106337284472	NA	16	9.933	0	NA	NA	NA	NA	1.092e-07	rs14388	2
ENSG00000266118	RP11-507M3.1	2	24347236	24413305	1	protein_coding	NA	NA	NA	NA	49	14.02	0	NA	NA	NA	NA	1.092e-07	rs14388	2
ENSG00000186453	FAM228A	2	24397938	24423718	1	protein_coding	653140	FAM228A	0.000409739893538017	-0.077652317	30	19.76	0	NA	NA	NA	NA	4.37e-06	rs14388	2
ENSG00000198399	ITSN2	2	24425733	24583583	-1	protein_coding	50618	ITSN2	0.0244336907969597	0.348012946	243	19.76	351	2.5775e-11	1.45967e-07	EyeGEx:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellum	-	7.598e-09	rs14388	2
ENSG00000138030	KHK	2	27309615	27323640	1	protein_coding	3795	KHK	5.36079485314004e-05	NA	0	0	1	0.000193567	1.93036e-27	GTEx/v8/Whole_Blood	+	0.02812	rs10432705	3
